Activity,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9
Hiking,Outdoor,Adventure,Nature,Exercise,Exploration,Fitness,Scenic,Wildlife,Trail
Movie Night,Indoor,Relaxing,Entertainment,Popcorn,Friends,Casual,Chill,Cinema,Snacks
Gaming,Indoor,Competitive,Fun,Strategy,Multiplayer,Esports,Tech,Challenge,Immersive
Cooking Class,Indoor,Creative,Food,Learning,Hands-on,Culinary,Skills,Social,Tasty
Beach Volleyball,Outdoor,Sport,Team,Fun,Sun,Exercise,Competitive,Sand,Active
Concert,Outdoor,Music,Live,Social,Entertainment,Crowd,Vibes,Dance,Energy
Escape Room,Indoor,Adventure,Problem-solving,Team,Challenge,Interactive,Mystery,Fun,Thrilling
Bowling,Indoor,Sport,Fun,Group,Casual,Competition,Leisure,Skill-based,Social
Camping,Outdoor,Nature,Adventure,Overnight,Fire,Scenic,Wildlife,Tent,Survival
Paintball,Outdoor,Competitive,Team,Sport,Adventure,Strategy,Adrenaline,Fun,Action
Board Game Night,Indoor,Strategy,Fun,Group,Competition,Social,Thinking,Relaxing,Games
Kayaking,Outdoor,Water,Adventure,Exercise,Nature,Paddling,Scenic,Fitness,Exploration
Karaoke Night,Indoor,Music,Fun,Social,Entertainment,Singing,Performance,Casual,Friends
Soccer Match,Outdoor,Sport,Team,Competitive,Exercise,Fun,Field,Active,Energy
Yoga Class,Indoor,Relaxing,Exercise,Fitness,Meditation,Calm,Health,Stretching,Social
Trivia Night,Indoor,Fun,Challenge,Thinking,Team,Social,Knowledge,Entertainment,Competition
Rock Climbing,Outdoor,Adventure,Exercise,Fitness,Challenge,Nature,Strength,Thrilling,Scenic
Art Workshop,Indoor,Creative,Learning,Artistic,Hands-on,Social,Relaxing,Skills,Expression
Fishing Trip,Outdoor,Nature,Relaxing,Water,Patience,Scenic,Outdoor,Quiet,Adventure
Dance Party,Indoor,Music,Fun,Social,Dance,Energy,Entertainment,Friends,Celebration
Laser Tag,Indoor,Competitive,Team,Fun,Adventure,Strategy,Action,Thrilling,Tech
Picnic,Outdoor,Relaxing,Nature,Food,Social,Friends,Scenic,Casual,Leisure
Basketball Game,Outdoor,Sport,Team,Competitive,Exercise,Fun,Active,Court,Energy
Pottery Class,Indoor,Creative,Hands-on,Artistic,Learning,Relaxing,Skills,Social,Clay
Scavenger Hunt,Outdoor,Adventure,Team,Fun,Exploration,Challenge,Interactive,Social,Thrilling
Comedy Show,Indoor,Entertainment,Fun,Laughter,Social,Relaxing,Live,Humor,Casual
Cycling Tour,Outdoor,Exercise,Adventure,Fitness,Nature,Scenic,Exploration,Active,Trail
DIY Craft Night,Indoor,Creative,Hands-on,Fun,Learning,Social,Relaxing,Skills,Projects
Swimming,Outdoor,Water,Exercise,Fun,Active,Fitness,Relaxing,Social,Summer
Improv Class,Indoor,Creative,Fun,Learning,Social,Performance,Challenge,Laughter,Interactive
Skiing,Outdoor,Adventure,Snow,Exercise,Fitness,Thrilling,Scenic,Active,Winter
Puzzle Night,Indoor,Thinking,Challenge,Fun,Group,Relaxing,Strategy,Social,Puzzles
Tennis Match,Outdoor,Sport,Competitive,Exercise,Fun,Active,Skill-based,Court,Energy
Photography Walk,Outdoor,Creative,Nature,Exploration,Scenic,Artistic,Relaxing,Learning,Social
Wine Tasting,Indoor,Relaxing,Food,Social,Tasty,Entertainment,Learning,Casual,Drinks
Mini Golf,Indoor,Fun,Sport,Casual,Group,Competition,Leisure,Skill-based,Social
Archery,Outdoor,Skill-based,Challenge,Fun,Exercise,Focus,Adventure,Competitive,Target
Storytelling Night,Indoor,Creative,Social,Fun,Entertainment,Relaxing,Imagination,Group,Sharing
Surfing,Outdoor,Water,Adventure,Exercise,Fun,Thrilling,Active,Ocean,Sport
Baking Party,Indoor,Creative,Food,Hands-on,Social,Tasty,Fun,Learning,Sweets
Horseback Riding,Outdoor,Adventure,Nature,Exercise,Scenic,Active,Exploration,Animals,Trail
Magic Show,Indoor,Entertainment,Fun,Mystery,Social,Interactive,Performance,Wonder,Casual
